date,Mauna Loa CO2,HOT pCO2,BATS pCO2,ESTOC pCO2,HOT pH,BATS pH,ESTOC pH
8/15/1989,351.16,,,,,,
8/24/1989,,343.8,,,8.093,,
9/15/1989,349.35,,,,,,
9/22/1989,,337.8,,,8.099,,
10/15/1989,349.5,,,,,,
10/18/1989,,350.5,,,8.0858,,
11/15/1989,351.17,,,,,,
11/27/1989,,329.7,,,8.1101,,
12/15/1989,352.19,,,,,,
1/5/1990,,310.8,,,8.1332,,
1/15/1990,353.71,,,,,,
2/15/1990,,317.2,,,8.1229,,
2/15/1990,355.14,,,,,,
3/15/1990,355.67,,,,,,
3/19/1990,,310.1,,,8.134,,
4/13/1990,,320.2,,,8.1229,,
4/15/1990,356.72,,,,,,
5/9/1990,,324.3,,,8.1167,,
5/15/1990,357.6,,,,,,
6/13/1990,,318.9,,,8.1232,,
6/15/1990,356.59,,,,,,
7/15/1990,355.28,,,,,,
7/25/1990,,329.7,,,8.1084,,
8/15/1990,352.59,,,,,,
9/14/1990,,353.6,,,8.085,,
9/15/1990,351.1,,,,,,
10/15/1990,351.17,,,,,,
11/15/1990,352.8,,,,,,
12/15/1990,354.67,,,,,,
12/18/1990,,322.4,,,8.1212,,
1/15/1991,354.61,,,,,,
2/3/1991,,317.4,,,8.1256,,
2/15/1991,356.03,,,,,,
3/7/1991,,318,,,8.1263,,
3/15/1991,357.4,,,,,,
4/10/1991,,319.2,,,8.1231,,
4/15/1991,358.43,,,,,,
5/8/1991,,326.5,,,8.1144,,
5/15/1991,359.14,,,,,,
6/5/1991,,327.3,,,8.1139,,
6/15/1991,358.29,,,,,,
7/10/1991,,327.8,,,8.112,,
7/15/1991,355.54,,,,,,
8/10/1991,,339.7,,,8.0992,,
8/15/1991,354.13,,,,,,
9/15/1991,351.97,,,,,,
9/18/1991,,344.4,,,8.0943,,
10/7/1991,,,356.0335098,,,8.090848219,
10/15/1991,352.19,,,,,,
10/21/1991,,338.6,,,8.0981,,
11/11/1991,,,323.1500884,,,8.126864353,
11/15/1991,353.87,,,,,,
12/7/1991,,334.7,,,8.104,,
12/9/1991,,,310.1663959,,,8.144167097,
12/15/1991,355.23,,,,,,
1/5/1992,,324.1,,,8.1177,,
1/15/1992,356.43,,,,,,
2/13/1992,,,332.8630775,,,8.118157427,
2/15/1992,,317.8,,,8.1256,,
2/15/1992,356.83,,,,,,
3/6/1992,,321.9,,,8.119,,
3/10/1992,,,307.2939555,,,8.149214884,
3/15/1992,357.92,,,,,,
4/15/1992,359.16,,,,,,
4/17/1992,,331.7,,,8.1099,,
4/21/1992,,,312.6559502,,,8.144131082,
5/15/1992,359.63,,,,,,
5/18/1992,,,347.8521195,,,8.104052972,
6/9/1992,,325.5,,,8.1152,,
6/15/1992,359.46,,,,,,
6/17/1992,,,356.9327409,,,8.091275433,
7/5/1992,,343,,,8.0977,,
7/14/1992,,,389.7862793,,,8.057478651,
7/15/1992,356.46,,,,,,
8/5/1992,,342.4,,,8.0956,,
8/15/1992,354.71,,,,,,
8/18/1992,,,398.3873399,,,8.048357641,
9/15/1992,,,370.2050572,,,8.074290935,
9/15/1992,353.51,,,,,,
9/23/1992,,346.2,,,8.0933,,
10/14/1992,,,343.3515932,,,8.102907475,
10/15/1992,353.08,,,,,,
10/20/1992,,351.6,,,8.087,,
11/12/1992,,,334.1170298,,,8.115023016,
11/15/1992,354.68,,,,,,
11/24/1992,,332.3,,,8.1052,,
12/7/1992,,,316.033621,,,8.136924169,
12/15/1992,355.79,,,,,,
12/16/1992,,324,,,8.1161,,
1/12/1993,,,301.6551121,,,8.154902263,
1/15/1993,356.77,,,,,,
1/20/1993,,309.6,,,8.1349,,
2/9/1993,,,303.8429155,,,8.152731048,
2/15/1993,357.01,,,,,,
2/17/1993,,310.8,,,8.1325,,
2/25/1993,,,312.0461858,,,8.143941846,
3/10/1993,,,319.6816674,,,8.135408436,
3/15/1993,358.41,,,,,,
3/30/1993,,,315.1207356,,,8.141082808,
4/15/1993,,333.7,,,8.1074,,
4/15/1993,359.15,,,,,,
4/27/1993,,,317.2301324,,,8.137423926,
5/9/1993,,,335.4919859,,,8.116273093,
5/15/1993,360.62,,,,,,
5/21/1993,,331,,,8.1105,,
6/15/1993,,,361.0572706,,,8.08873201,
6/15/1993,359.67,,,,,,
7/13/1993,,,407.0329984,,,8.044200379,
7/15/1993,357.42,,,,,,
8/15/1993,355.69,,,,,,
8/18/1993,,,391.7123514,,,8.05550944,
9/14/1993,,,374.89401,,,8.070497808,
9/15/1993,,360.2,,,8.0802,,
9/15/1993,353.43,,,,,,
10/12/1993,,,355.6654015,,,8.089951472,
10/15/1993,353.81,,,,,,
10/30/1993,,345.4,,,8.094,,
11/9/1993,,,350.3668884,,,8.09716198,
11/15/1993,355.52,,,,,,
12/15/1993,356.86,,,,,,
1/12/1994,,,306.2255886,,,8.148992478,
1/15/1994,358.49,,,,,,
1/20/1994,,298.3,,,8.1508,,
2/15/1994,359.09,,,,,,
2/17/1994,,309.5,,,8.1357,,
3/9/1994,,323.4,,,8.1204,,
3/15/1994,359.59,,,,,,
4/15/1994,361.2,,,,,,
4/19/1994,,,314.8246296,,,8.140395018,
5/15/1994,361.64,,,,,,
5/17/1994,,,340.7833053,,,8.10987473,
6/14/1994,,,376.7531598,,,8.070570186,
6/15/1994,361.05,,,,,,
6/19/1994,,336.7,,,8.1021,,
7/15/1994,358.93,,,,,,
7/25/1994,,351.4,,,8.0858,,
8/15/1994,357.2,,,,,,
8/30/1994,,348.4,,,8.0883,,
9/15/1994,355.07,,,,,,
9/23/1994,,349.2,,,8.0875,,
10/15/1994,,349.7,,,8.088,,
10/15/1994,355.74,,,,,,
11/15/1994,357.29,,,,,,
11/19/1994,,335.1,,,8.1048,,
12/15/1994,359.53,,,,,,
1/15/1995,360.09,,,,,,
2/6/1995,,326.9,,,8.1099,,
2/15/1995,360.75,,,,,,
3/4/1995,,323.6,,,8.1171,,
3/15/1995,361.93,,,,,,
3/16/1995,,,314.6779974,,,8.141510531,
4/6/1995,,333.9,,,8.1038,,
4/11/1995,,,317.7239155,,,8.138645636,
4/15/1995,363.07,,,,,,
5/7/1995,,325.1,,,8.1149,,
5/11/1995,,,310.4897377,,,8.146139838,
5/15/1995,363.6,,,,,,
6/13/1995,,,380.9183187,,,8.069666511,
6/15/1995,363.53,,,,,,
7/11/1995,,,388.8713154,,,8.058703571,
7/15/1995,361.69,,,,,,
7/30/1995,,344.7,,,8.0937,,
8/15/1995,358.53,,,,,,
8/22/1995,,,376.6420316,,,8.071306752,
8/29/1995,,345.1,,,8.0933,,
9/15/1995,358.01,,,,,,
9/26/1995,,349,,,8.0886,,
10/1/1995,,,,377.65,,,8.077250314
10/3/1995,,,,380.04,,,8.074975932
10/6/1995,,,,383.11,,,8.071939718
10/13/1995,,,373.3527534,,,8.074260538,
10/15/1995,357.55,,,,,,
10/27/1995,,339.5,,,8.0997,,
11/11/1995,,,338.2407519,,,8.110738514,
11/15/1995,359.35,,,,,,
11/17/1995,,326.7,,,8.1135,,
11/25/1995,,,,370.43,,,8.084526016
12/15/1995,,,324.2796103,,,8.128004525,
12/15/1995,360.55,,,,,,
1/15/1996,362.15,,,,,,
1/17/1996,,331.8,,,8.1074,,
1/24/1996,,,,343.06,,,8.112941032
1/30/1996,,,318.2035579,,,8.137741512,
2/4/1996,,,,343.72,,,8.112919635
2/7/1996,,,,340.43,,,8.116106584
2/15/1996,362.88,,,,,,
2/28/1996,,,326.8031694,,,8.128449127,
3/15/1996,,,,330.24,,,8.126707975
3/15/1996,,,320.8452876,,,8.134274153,
3/15/1996,363.9,,,,,,
3/27/1996,,328.5,,,8.1122,,
4/9/1996,,,323.7401085,,,8.131308439,
4/15/1996,364.63,,,,,,
4/24/1996,,332.8,,,8.1066,,
4/24/1996,,,,347.15,,,8.109389987
5/7/1996,,,341.8088939,,,8.111278506,
5/15/1996,,,,354.12,,,8.102402819
5/15/1996,365.23,,,,,,
5/17/1996,,,,353.49,,,8.102970592
5/22/1996,,344.3,,,8.0946,,
5/22/1996,,,,351.56,,,8.104875039
6/11/1996,,,374.7450278,,,8.073357409,
6/12/1996,,,,357.37,,,8.098993232
6/15/1996,365.3,,,,,,
